accession	organism	kingdom	length	cleavage_site
P07221	Oryctolagus cuniculus (Rabbit)	Metazoa	395	28
P07237	Homo sapiens (Human)	Metazoa	508	17
P07267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	405	22
P07288	Homo sapiens (Human)	Metazoa	261	17
P07359	Homo sapiens (Human)	Metazoa	652	16
P07456	Bos taurus (Bovine)	Metazoa	179	24
P07477	Homo sapiens (Human)	Metazoa	247	15
P07478	Homo sapiens (Human)	Metazoa	247	15
P07602	Homo sapiens (Human)	Metazoa	524	16
P07634	Sus scrofa (Pig)	Metazoa	131	25
P07692	Torpedo marmorata (Marbled electric ray)	Metazoa	590	24
P07727	Rattus norvegicus (Rat)	Metazoa	457	28
P07759	Mus musculus (Mouse)	Metazoa	418	21
P07808	Rattus norvegicus (Rat)	Metazoa	98	29
P07897	Rattus norvegicus (Rat)	Metazoa	2124	19
P07981	Trichoderma reesei (Filamentous fungus) (Hypocrea jecorina)	Fungi	459	22
P07982	Trichoderma reesei (Filamentous fungus) (Hypocrea jecorina)	Fungi	418	21
P07994	Bos taurus (Bovine)	Metazoa	360	17
P07998	Homo sapiens (Human)	Metazoa	156	28
P08001	Sus scrofa (Pig)	Metazoa	415	16
P08069	Homo sapiens (Human)	Metazoa	1367	30
P08091	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Fungi	453	18
P08118	Homo sapiens (Human)	Metazoa	114	20
P08125	Gallus gallus (Chicken)	Metazoa	674	18
P08174	Homo sapiens (Human)	Metazoa	381	34
P08176	Dermatophagoides pteronyssinus (European house dust mite)	Metazoa	320	18
P08185	Homo sapiens (Human)	Metazoa	405	22
P08236	Homo sapiens (Human)	Metazoa	651	22
P08253	Homo sapiens (Human)	Metazoa	660	29
P08289	Rattus norvegicus (Rat)	Metazoa	524	17
P08505	Mus musculus (Mouse)	Metazoa	211	24
P08514	Homo sapiens (Human)	Metazoa	1039	31
P08582	Homo sapiens (Human)	Metazoa	738	19
P08603	Homo sapiens (Human)	Metazoa	1231	18
P08648	Homo sapiens (Human)	Metazoa	1049	41
P08661	Rattus norvegicus (Rat)	Metazoa	244	18
P08697	Homo sapiens (Human)	Metazoa	491	27
P08721	Rattus norvegicus (Rat)	Metazoa	317	16
P08751	Equus caballus (Horse)	Metazoa	169	20
P08796	Dictyostelium discoideum (Social amoeba)	Other	514	19
P08818	Hordeum vulgare (Barley)	Plants	476	34
P08833	Homo sapiens (Human)	Metazoa	259	25
P08842	Homo sapiens (Human)	Metazoa	583	21
P08878	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	138	37
P08887	Homo sapiens (Human)	Metazoa	468	19
P08904	Bos taurus (Bovine)	Metazoa	154	27
P08905	Mus musculus (Mouse)	Metazoa	148	18
P08989	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	146	23
P09056	Mus musculus (Mouse)	Metazoa	203	23
P09102	Gallus gallus (Chicken)	Metazoa	515	22
P09228	Homo sapiens (Human)	Metazoa	141	20
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	Fungi	454	15
P09237	Homo sapiens (Human)	Metazoa	267	17
P09341	Homo sapiens (Human)	Metazoa	107	34
P09466	Homo sapiens (Human)	Metazoa	180	18
P09470	Mus musculus (Mouse)	Metazoa	1312	34
P09479	Gallus gallus (Chicken)	Metazoa	456	20
P09486	Homo sapiens (Human)	Metazoa	303	17
P09487	Bos taurus (Bovine)	Metazoa	524	17
P09603	Homo sapiens (Human)	Metazoa	554	32
P09619	Homo sapiens (Human)	Metazoa	1106	32
P09655	Rattus norvegicus (Rat)	Metazoa	79	18
P09871	Homo sapiens (Human)	Metazoa	688	15
P09923	Homo sapiens (Human)	Metazoa	528	19
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	499	21
P0C8E7	Rhipicephalus sanguineus (Brown dog tick) (Ixodes sanguineus)	Metazoa	114	20
P0C8G6	Pomacea canaliculata (Golden apple snail)	Metazoa	565	26
P0CAR9	Cerastes cerastes (Horned desert viper)	Metazoa	137	16
P0CAS0	Cerastes cerastes (Horned desert viper)	Metazoa	136	16
P0CB51	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	Fungi	427	17
P0CC17	Bothrops atrox (Barba amarilla) (Fer-de-lance)	Metazoa	506	18
P0CS93	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	Fungi	680	24
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	362	25
P0CX78	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	362	25
P0CX79	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	362	25
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	362	25
P0DJD7	Homo sapiens (Human)	Metazoa	388	15
P0DJD8	Homo sapiens (Human)	Metazoa	388	15
P0DJD9	Homo sapiens (Human)	Metazoa	388	15
P0DJI8	Homo sapiens (Human)	Metazoa	122	18
P0DJJ9	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	138	16
P0DJN6	Crotalus horridus (Timber rattlesnake)	Metazoa	138	16
P0DJN7	Crotalus lepidus lepidus (Mottled rock rattlesnake)	Metazoa	138	16
P0DKL3	Maackia amurensis (Amur maackia)	Plants	287	29
P0DKR6	Dendroaspis polylepis polylepis (Black mamba)	Metazoa	78	21
P0DKU2	Pandinus imperator (Emperor scorpion)	Metazoa	145	15
P0DL37	Urodacus yaschenkoi (Inland robust scorpion)	Metazoa	62	24
P0DML2	Homo sapiens (Human)	Metazoa	217	26
P0DML3	Homo sapiens (Human)	Metazoa	217	26
P0DN86	Homo sapiens (Human)	Metazoa	165	20
P10040	Drosophila melanogaster (Fruit fly)	Metazoa	2146	83
P10082	Homo sapiens (Human)	Metazoa	97	28
P10124	Homo sapiens (Human)	Metazoa	158	27
P10144	Homo sapiens (Human)	Metazoa	247	18
P10145	Homo sapiens (Human)	Metazoa	99	20
P10147	Homo sapiens (Human)	Metazoa	92	23
P10152	Bos taurus (Bovine)	Metazoa	148	23
P10153	Homo sapiens (Human)	Metazoa	161	27
P10163	Homo sapiens (Human)	Metazoa	310	16
P10279	Bos taurus (Bovine)	Metazoa	264	24
P10297	Phytolacca americana (American pokeweed) (Phytolacca decandra)	Plants	313	22
P10354	Rattus norvegicus (Rat)	Metazoa	466	18
P10493	Mus musculus (Mouse)	Metazoa	1245	28
P10522	Bos taurus (Bovine)	Metazoa	248	28
P10619	Homo sapiens (Human)	Metazoa	480	28
P10631	Rattus norvegicus (Rat)	Metazoa	98	28
P10645	Homo sapiens (Human)	Metazoa	457	18
P10646	Homo sapiens (Human)	Metazoa	304	28
P10669	Sus scrofa (Pig)	Metazoa	344	29
P10720	Homo sapiens (Human)	Metazoa	104	30
P10745	Homo sapiens (Human)	Metazoa	1247	17
P10758	Rattus norvegicus (Rat)	Metazoa	165	21
P10761	Mus musculus (Mouse)	Metazoa	424	22
P10764	Ovis aries (Sheep)	Metazoa	179	24
P10820	Mus musculus (Mouse)	Metazoa	554	20
P10855	Mus musculus (Mouse)	Metazoa	92	23
P10889	Mus musculus (Mouse)	Metazoa	100	27
P10909	Homo sapiens (Human)	Metazoa	449	22
P10959	Rattus norvegicus (Rat)	Metazoa	549	18
P11021	Homo sapiens (Human)	Metazoa	654	18
P11150	Homo sapiens (Human)	Metazoa	499	22
P11151	Bos taurus (Bovine)	Metazoa	478	28
P11215	Homo sapiens (Human)	Metazoa	1152	16
P11218	Urtica dioica (Great nettle) (Stinging nettle)	Plants	372	23
P11226	Homo sapiens (Human)	Metazoa	248	20
P11279	Homo sapiens (Human)	Metazoa	417	28
P11407	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	138	16
P11438	Mus musculus (Mouse)	Metazoa	406	24
P11590	Mus musculus (Mouse)	Metazoa	178	16
P11598	Rattus norvegicus (Rat)	Metazoa	505	24
P11654	Rattus norvegicus (Rat)	Metazoa	1886	25
P11684	Homo sapiens (Human)	Metazoa	91	21
P11717	Homo sapiens (Human)	Metazoa	2491	40
P11911	Mus musculus (Mouse)	Metazoa	220	28
P11912	Homo sapiens (Human)	Metazoa	226	32
P11916	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	Metazoa	133	22
P11936	Sus scrofa (Pig)	Metazoa	284	22
P11941	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	Metazoa	144	15
P12024	Drosophila melanogaster (Fruit fly)	Metazoa	1315	29
P12273	Homo sapiens (Human)	Metazoa	146	28
P12314	Homo sapiens (Human)	Metazoa	374	15
P12318	Homo sapiens (Human)	Metazoa	317	33
P12319	Homo sapiens (Human)	Metazoa	257	25
P12346	Rattus norvegicus (Rat)	Metazoa	698	19
P12387	Cavia porcellus (Guinea pig)	Metazoa	1666	22
P12637	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	410	19
P12670	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Plants	247	21
P12724	Homo sapiens (Human)	Metazoa	160	27
P12729	Dictyostelium discoideum (Social amoeba)	Other	168	19
P12763	Bos taurus (Bovine)	Metazoa	359	18
P12799	Bos taurus (Bovine)	Metazoa	444	24
P12820	Bos taurus (Bovine)	Metazoa	1306	28
P12821	Homo sapiens (Human)	Metazoa	1306	29
P12822	Oryctolagus cuniculus (Rabbit)	Metazoa	1310	33
P12843	Rattus norvegicus (Rat)	Metazoa	304	34
P12961	Mus musculus (Mouse)	Metazoa	212	26
P13205	Rattus norvegicus (Rat)	Metazoa	121	26
P13224	Homo sapiens (Human)	Metazoa	206	25
P13385	Homo sapiens (Human)	Metazoa	188	30
P13389	Ovis aries (Sheep)	Metazoa	125	19
P13432	Rattus norvegicus (Rat)	Metazoa	146	22
P13473	Homo sapiens (Human)	Metazoa	410	28
P13500	Homo sapiens (Human)	Metazoa	99	23
P13501	Homo sapiens (Human)	Metazoa	91	23
P13504	Mus musculus (Mouse)	Metazoa	576	19
P13595	Mus musculus (Mouse)	Metazoa	1115	19
P13598	Homo sapiens (Human)	Metazoa	275	24
P13599	Rattus norvegicus (Rat)	Metazoa	366	22
P13611	Homo sapiens (Human)	Metazoa	3396	20
P13612	Homo sapiens (Human)	Metazoa	1032	33
P13671	Homo sapiens (Human)	Metazoa	934	21
P13686	Homo sapiens (Human)	Metazoa	325	21
P13689	Zea mays (Maize)	Plants	201	38
P13725	Homo sapiens (Human)	Metazoa	252	25
P13727	Homo sapiens (Human)	Metazoa	222	16
P13806	Oryctolagus cuniculus (Rabbit)	Metazoa	1106	26
P13987	Homo sapiens (Human)	Metazoa	128	25
P14091	Homo sapiens (Human)	Metazoa	396	19
P14095	Rattus norvegicus (Rat)	Metazoa	96	24
P14209	Homo sapiens (Human)	Metazoa	185	22
P14210	Homo sapiens (Human)	Metazoa	728	31
P14211	Mus musculus (Mouse)	Metazoa	416	17
P14314	Homo sapiens (Human)	Metazoa	528	14
P14384	Homo sapiens (Human)	Metazoa	443	17
P14423	Rattus norvegicus (Rat)	Metazoa	146	21
P14424	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	138	16
P14448	Gallus gallus (Chicken)	Metazoa	741	18
P14555	Homo sapiens (Human)	Metazoa	144	20
P14562	Rattus norvegicus (Rat)	Metazoa	407	21
P14625	Homo sapiens (Human)	Metazoa	803	21
P14630	Rattus norvegicus (Rat)	Metazoa	190	17
P14632	Sus scrofa (Pig)	Metazoa	704	19
P14770	Homo sapiens (Human)	Metazoa	177	16
P14780	Homo sapiens (Human)	Metazoa	707	19
P14925	Rattus norvegicus (Rat)	Metazoa	976	25
P15018	Homo sapiens (Human)	Metazoa	202	22
P15085	Homo sapiens (Human)	Metazoa	419	16
P15086	Homo sapiens (Human)	Metazoa	417	15
P15169	Homo sapiens (Human)	Metazoa	458	20
P15226	Tityus serrulatus (Brazilian yellow scorpion)	Metazoa	84	20
P15247	Mus musculus (Mouse)	Metazoa	144	18
P15253	Oryctolagus cuniculus (Rabbit)	Metazoa	418	17
P15261	Mus musculus (Mouse)	Metazoa	477	25
P15289	Homo sapiens (Human)	Metazoa	507	18
P15309	Homo sapiens (Human)	Metazoa	386	32
P15358	Haementeria officinalis (Mexican leech)	Metazoa	136	17
P15473	Rattus norvegicus (Rat)	Metazoa	292	27
P15497	Bos taurus (Bovine)	Metazoa	265	18
P15515	Homo sapiens (Human)	Metazoa	57	19
P15516	Homo sapiens (Human)	Metazoa	51	19
P15529	Homo sapiens (Human)	Metazoa	392	34
P15589	Rattus norvegicus (Rat)	Metazoa	577	19
P15691	Bos taurus (Bovine)	Metazoa	190	26
P15693	Rattus norvegicus (Rat)	Metazoa	540	20
P15703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	313	23
P15941	Homo sapiens (Human)	Metazoa	1255	23
P16035	Homo sapiens (Human)	Metazoa	220	26
P16112	Homo sapiens (Human)	Metazoa	2530	16
P16144	Homo sapiens (Human)	Metazoa	1822	27
P16150	Homo sapiens (Human)	Metazoa	400	19
P16225	Sus scrofa (Pig)	Metazoa	187	21
P16235	Rattus norvegicus (Rat)	Metazoa	700	26
P16303	Rattus norvegicus (Rat)	Metazoa	565	18
P16368	Bos taurus (Bovine)	Metazoa	220	26
P16382	Mus musculus (Mouse)	Metazoa	810	25
P16444	Homo sapiens (Human)	Metazoa	411	16
P16612	Rattus norvegicus (Rat)	Metazoa	214	26
P16619	Homo sapiens (Human)	Metazoa	93	23
P16636	Rattus norvegicus (Rat)	Metazoa	411	21
P16860	Homo sapiens (Human)	Metazoa	134	26
P16882	Mus musculus (Mouse)	Metazoa	650	24
P16933	Schizophyllum commune (Split gill fungus)	Fungi	136	24
P16975	Rattus norvegicus (Rat)	Metazoa	301	17
P17046	Rattus norvegicus (Rat)	Metazoa	411	26
P17050	Homo sapiens (Human)	Metazoa	411	17
P17164	Rattus norvegicus (Rat)	Metazoa	462	28
P17213	Homo sapiens (Human)	Metazoa	487	31
P17301	Homo sapiens (Human)	Metazoa	1181	29
P17454	Oryctolagus cuniculus (Rabbit)	Metazoa	482	26
P17475	Rattus norvegicus (Rat)	Metazoa	411	24
P17697	Bos taurus (Bovine)	Metazoa	439	19
P17715	Octodon degus (Degu) (Sciurus degus)	Metazoa	109	24
P17728	Leiurus hebraeus (Hebrew deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	Metazoa	85	19
P17813	Homo sapiens (Human)	Metazoa	658	25
P17935	Vipera ammodytes ammodytes (Western sand viper)	Metazoa	138	16
P17936	Homo sapiens (Human)	Metazoa	291	27
P17948	Homo sapiens (Human)	Metazoa	1338	26
P18181	Mus musculus (Mouse)	Metazoa	240	22
P18418	Rattus norvegicus (Rat)	Metazoa	416	17
P18428	Homo sapiens (Human)	Metazoa	481	25
P18510	Homo sapiens (Human)	Metazoa	177	25
P18632	Cryptomeria japonica (Japanese cedar) (Cupressus japonica)	Plants	374	21
P18649	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	323	18
P18650	Sus scrofa (Pig)	Metazoa	317	18
P18658	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Metazoa	101	22
P18761	Mus musculus (Mouse)	Metazoa	317	17
P19034	Bos taurus (Bovine)	Metazoa	101	22
P19069	Cavia porcellus (Guinea pig)	Metazoa	1742	19
P19121	Gallus gallus (Chicken)	Metazoa	615	18
P19134	Oryctolagus cuniculus (Rabbit)	Metazoa	695	19
P19137	Mus musculus (Mouse)	Metazoa	3083	24
P19313	Rattus norvegicus (Rat)	Metazoa	141	27
P19320	Homo sapiens (Human)	Metazoa	739	24
P19324	Mus musculus (Mouse)	Metazoa	417	17
P19427	Bos taurus (Bovine)	Metazoa	201	18
P19438	Homo sapiens (Human)	Metazoa	455	29
P19633	Rattus norvegicus (Rat)	Metazoa	406	34
P19801	Homo sapiens (Human)	Metazoa	751	19
P19835	Homo sapiens (Human)	Metazoa	753	20
P19874	Oryctolagus cuniculus (Rabbit)	Metazoa	101	22
P19883	Homo sapiens (Human)	Metazoa	344	29
P19957	Homo sapiens (Human)	Metazoa	117	22
P19999	Rattus norvegicus (Rat)	Metazoa	238	17
P20029	Mus musculus (Mouse)	Metazoa	655	19
P20058	Oryctolagus cuniculus (Rabbit)	Metazoa	460	25
P20062	Homo sapiens (Human)	Metazoa	427	18
P20068	Rattus norvegicus (Rat)	Metazoa	169	22
P20142	Homo sapiens (Human)	Metazoa	388	16
P20155	Homo sapiens (Human)	Metazoa	84	23
P20160	Homo sapiens (Human)	Metazoa	251	19
P20239	Mus musculus (Mouse)	Metazoa	713	34
P20241	Drosophila melanogaster (Fruit fly)	Metazoa	1302	23
P20333	Homo sapiens (Human)	Metazoa	461	22
P20334	Mus musculus (Mouse)	Metazoa	256	23
P20474	Bothrops asper (Terciopelo)	Metazoa	138	16
P20507	Chlamydomonas reinhardtii (Chlamydomonas smithii)	Plants	377	20
P20702	Homo sapiens (Human)	Metazoa	1163	19
P20774	Homo sapiens (Human)	Metazoa	298	20
P20826	Mus musculus (Mouse)	Metazoa	273	25
P20827	Homo sapiens (Human)	Metazoa	205	18
P20933	Homo sapiens (Human)	Metazoa	346	23
P20959	Bos taurus (Bovine)	Metazoa	291	27
P21128	Homo sapiens (Human)	Metazoa	410	18
P21246	Homo sapiens (Human)	Metazoa	168	32
P21570	Mus musculus (Mouse)	Metazoa	145	24
P21581	Rattus norvegicus (Rat)	Metazoa	273	25
P21588	Rattus norvegicus (Rat)	Metazoa	576	28
P21589	Homo sapiens (Human)	Metazoa	574	26
P21611	Gallus gallus (Chicken)	Metazoa	119	21
P21614	Mus musculus (Mouse)	Metazoa	476	16
P21741	Homo sapiens (Human)	Metazoa	143	20
P21743	Rattus norvegicus (Rat)	Metazoa	272	25
P21744	Rattus norvegicus (Rat)	Metazoa	254	21
P21754	Homo sapiens (Human)	Metazoa	424	22
P21760	Gallus gallus (Chicken)	Metazoa	178	20
P21781	Homo sapiens (Human)	Metazoa	194	31
P21782	Bos taurus (Bovine)	Metazoa	168	32
P21956	Mus musculus (Mouse)	Metazoa	463	22
P22057	Rattus norvegicus (Rat)	Metazoa	189	24
P22063	Rattus norvegicus (Rat)	Metazoa	1040	30
P22146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	559	22
P22301	Homo sapiens (Human)	Metazoa	178	18
P22362	Homo sapiens (Human)	Metazoa	96	23
P22388	Rattus norvegicus (Rat)	Metazoa	202	25
P22394	Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)	Fungi	563	19
P22412	Sus scrofa (Pig)	Metazoa	409	16
P22455	Homo sapiens (Human)	Metazoa	802	21
P22458	Oryctolagus cuniculus (Rabbit)	Metazoa	475	19
P22692	Homo sapiens (Human)	Metazoa	258	21
P22748	Homo sapiens (Human)	Metazoa	312	18
P22770	Gallus gallus (Chicken)	Metazoa	502	23
P22894	Homo sapiens (Human)	Metazoa	467	20
P23083	Homo sapiens (Human)	Metazoa	117	19
P23141	Homo sapiens (Human)	Metazoa	567	17
P23142	Homo sapiens (Human)	Metazoa	703	29
P23229	Homo sapiens (Human)	Metazoa	1130	23
P23284	Homo sapiens (Human)	Metazoa	216	33
P23389	Bos taurus (Bovine)	Metazoa	646	20
P23472	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	Plants	311	26
P23515	Homo sapiens (Human)	Metazoa	440	24
P23631	Latrodectus tredecimguttatus (Mediterranean black widow spider) (Latrodectus mactans tredecimguttatus)	Metazoa	1401	20
P23805	Bos taurus (Bovine)	Metazoa	371	20
P23807	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	146	23
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	287	20
P24027	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	138	16
P24063	Mus musculus (Mouse)	Metazoa	1162	23
P24090	Rattus norvegicus (Rat)	Metazoa	352	18
P24091	Nicotiana tabacum (Common tobacco)	Plants	324	23
P24259	Sus scrofa (Pig)	Metazoa	150	24
P24605	Bothrops asper (Terciopelo)	Metazoa	137	16
P24627	Bos taurus (Bovine)	Metazoa	708	19
P24802	Gallus gallus (Chicken)	Metazoa	730	20
P24807	Mus musculus (Mouse)	Metazoa	76	26
P24821	Homo sapiens (Human)	Metazoa	2201	22
P24855	Homo sapiens (Human)	Metazoa	282	22
P25031	Rattus norvegicus (Rat)	Metazoa	175	26
P25116	Homo sapiens (Human)	Metazoa	425	21
P25236	Rattus norvegicus (Rat)	Metazoa	385	19
P25291	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	509	21
P25311	Homo sapiens (Human)	Metazoa	298	20
P25942	Homo sapiens (Human)	Metazoa	277	20
P26006	Homo sapiens (Human)	Metazoa	1051	32
P26010	Homo sapiens (Human)	Metazoa	798	19
P26011	Mus musculus (Mouse)	Metazoa	806	19
P26216	Zea mays (Maize)	Plants	410	22
P26842	Homo sapiens (Human)	Metazoa	260	19
P26894	Sus scrofa (Pig)	Metazoa	103	25
P27177	Gallus gallus (Chicken)	Metazoa	273	24
P27274	Rattus norvegicus (Rat)	Metazoa	126	22
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	210	19
P27657	Rattus norvegicus (Rat)	Metazoa	465	16
P27731	Gallus gallus (Chicken)	Metazoa	150	20
P27773	Mus musculus (Mouse)	Metazoa	505	24
P27797	Homo sapiens (Human)	Metazoa	417	17
P28039	Homo sapiens (Human)	Metazoa	575	23
P28053	Bos taurus (Bovine)	Metazoa	469	18
P28088	Bos taurus (Bovine)	Metazoa	441	26
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	239	20
P28325	Homo sapiens (Human)	Metazoa	142	20
P28335	Homo sapiens (Human)	Metazoa	458	32
P28491	Sus scrofa (Pig)	Metazoa	417	17
P28665	Mus musculus (Mouse)	Metazoa	1476	27
P28797	Cavia porcellus (Guinea pig)	Metazoa	605	17
P28798	Mus musculus (Mouse)	Metazoa	589	17
P28800	Bos taurus (Bovine)	Metazoa	492	22
P28825	Mus musculus (Mouse)	Metazoa	747	20
P28906	Homo sapiens (Human)	Metazoa	385	31
P29022	Zea mays (Maize)	Plants	280	25
P29026	Rhizopus oligosporus (Rhizopus microsporus var. oligosporus)	Fungi	540	22
P29027	Rhizopus oligosporus (Rhizopus microsporus var. oligosporus)	Fungi	542	22
P29029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	562	20
P29241	Aplysia californica (California sea hare)	Metazoa	282	24
P29288	Rattus norvegicus (Rat)	Metazoa	327	22
P29320	Homo sapiens (Human)	Metazoa	983	20
P29457	Rattus norvegicus (Rat)	Metazoa	417	17
P29459	Homo sapiens (Human)	Metazoa	219	22
P29460	Homo sapiens (Human)	Metazoa	328	22
P29695	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	342	19
P29788	Mus musculus (Mouse)	Metazoa	478	19
P29794	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	180	20
P30040	Homo sapiens (Human)	Metazoa	261	32
P30101	Homo sapiens (Human)	Metazoa	505	24
P30120	Rattus norvegicus (Rat)	Metazoa	217	23
P30121	Rattus norvegicus (Rat)	Metazoa	220	26
P30230	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)	Plants	80	29
P30348	Rattus norvegicus (Rat)	Metazoa	100	31
P30438	Felis catus (Cat) (Felis silvestris catus)	Metazoa	92	22
P30440	Felis catus (Cat) (Felis silvestris catus)	Metazoa	109	17
P30659	Lutzomyia longipalpis (Sand fly)	Metazoa	86	23
P30919	Rattus norvegicus (Rat)	Metazoa	345	23
P30922	Bos taurus (Bovine)	Metazoa	383	21
P30986	Eschscholzia californica (California poppy)	Plants	538	23
P30988	Homo sapiens (Human)	Metazoa	474	24
P31025	Homo sapiens (Human)	Metazoa	176	18
P31096	Bos taurus (Bovine)	Metazoa	278	16
P31100	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	138	16
P31211	Rattus norvegicus (Rat)	Metazoa	396	22
P31346	Sus scrofa (Pig)	Metazoa	147	24
P31347	Oryctolagus cuniculus (Rabbit)	Metazoa	149	24
P31358	Homo sapiens (Human)	Metazoa	61	24
P31429	Oryctolagus cuniculus (Rabbit)	Metazoa	410	16
P31515	Xenopus laevis (African clawed frog)	Metazoa	341	29
P31720	Rattus norvegicus (Rat)	Metazoa	245	22
P31722	Rattus norvegicus (Rat)	Metazoa	245	28
P31723	Penicillium citrinum	Fungi	511	35
P31809	Mus musculus (Mouse)	Metazoa	521	34
P31836	Bos taurus (Bovine)	Metazoa	853	19
P32004	Homo sapiens (Human)	Metazoa	1257	19
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	135	17
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	413	18
P32760	Gallus gallus (Chicken)	Metazoa	165	30
P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	667	22
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	203	20
P32881	Homo sapiens (Human)	Metazoa	189	23
P33436	Rattus norvegicus (Rat)	Metazoa	662	29
P33487	Arabidopsis thaliana (Mouse-ear cress)	Plants	198	33
P33681	Homo sapiens (Human)	Metazoa	288	34
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	430	20
P34096	Homo sapiens (Human)	Metazoa	147	28
P34115	Dictyostelium discoideum (Social amoeba)	Other	730	20
P34116	Dictyostelium discoideum (Social amoeba)	Other	734	20
P34752	Aspergillus niger	Fungi	467	23
P34998	Homo sapiens (Human)	Metazoa	415	23
P35052	Homo sapiens (Human)	Metazoa	558	23
P35053	Rattus norvegicus (Rat)	Metazoa	558	23
P35248	Rattus norvegicus (Rat)	Metazoa	374	19
P35331	Gallus gallus (Chicken)	Metazoa	1284	24
P35355	Rattus norvegicus (Rat)	Metazoa	604	17
P35441	Mus musculus (Mouse)	Metazoa	1170	18
P35495	Sus scrofa (Pig)	Metazoa	133	24
P35555	Homo sapiens (Human)	Metazoa	2871	24
P35590	Homo sapiens (Human)	Metazoa	1138	21
P35613	Homo sapiens (Human)	Metazoa	385	21
P35625	Homo sapiens (Human)	Metazoa	211	23
P35858	Homo sapiens (Human)	Metazoa	605	27
P35916	Homo sapiens (Human)	Metazoa	1363	24
P36222	Homo sapiens (Human)	Metazoa	383	21
P36368	Mus musculus (Mouse)	Metazoa	261	16
P36511	Rattus norvegicus (Rat)	Metazoa	530	23
P36897	Homo sapiens (Human)	Metazoa	503	33
P36980	Homo sapiens (Human)	Metazoa	270	18
P37042	Gallus gallus (Chicken)	Metazoa	92	23
P37173	Homo sapiens (Human)	Metazoa	567	22
P37889	Mus musculus (Mouse)	Metazoa	1221	26
P38570	Homo sapiens (Human)	Metazoa	1179	18
P38571	Homo sapiens (Human)	Metazoa	399	27
P38574	Bos taurus (Bovine)	Metazoa	287	18
P39039	Mus musculus (Mouse)	Metazoa	239	18
P40199	Homo sapiens (Human)	Metazoa	344	34
P40259	Homo sapiens (Human)	Metazoa	229	28
P40967	Homo sapiens (Human)	Metazoa	661	24
P41222	Homo sapiens (Human)	Metazoa	190	22
P41271	Homo sapiens (Human)	Metazoa	181	16
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	476	22
P42098	Sus scrofa (Pig)	Metazoa	421	22
