accession	organism	kingdom	length	tm_in_first_90
Q8IPZ3	melanogaster subgroup	Metazoa	413	False
Q8IQ70	melanogaster subgroup	Metazoa	366	False
Q8IRH5	melanogaster subgroup	Metazoa	733	False
Q8IS16	Dictyostelium	Other	604	False
Q8IS44	melanogaster subgroup	Metazoa	905	False
Q8ITC9	melanogaster subgroup	Metazoa	430	True
Q8IU80	Homo	Metazoa	811	True
Q8IU99	Homo	Metazoa	346	True
Q8IUF8	Homo	Metazoa	465	False
Q8IUH5	Homo	Metazoa	632	False
Q8IUN9	Homo	Metazoa	316	True
Q8IUX1	Homo	Metazoa	230	True
Q8IUY3	Homo	Metazoa	354	False
Q8IV20	Homo	Metazoa	430	False
Q8IV48	Homo	Metazoa	349	False
Q8IV53	Homo	Metazoa	801	False
Q8IVE3	Homo	Metazoa	1493	False
Q8IVF7	Homo	Metazoa	1028	False
Q8IVG5	Homo	Metazoa	1584	False
Q8IVH4	Homo	Metazoa	418	False
Q8IVI9	Homo	Metazoa	506	False
Q8IVJ1	Homo	Metazoa	513	False
Q8IVM8	Homo	Metazoa	553	True
Q8IVP5	Homo	Metazoa	155	True
Q8IVQ6	Homo	Metazoa	265	True
Q8IVS2	Homo	Metazoa	390	False
Q8IVS8	Homo	Metazoa	523	False
Q8IVU3	Homo	Metazoa	1022	False
Q8IW19	Homo	Metazoa	511	False
Q8IWA0	Homo	Metazoa	830	False
Q8IWA4	Homo	Metazoa	741	False
Q8IWE4	Homo	Metazoa	304	False
Q8IWL3	Homo	Metazoa	235	False
Q8IWS0	Homo	Metazoa	365	False
Q8IWT6	Homo	Metazoa	810	True
Q8IWU4	Homo	Metazoa	369	True
Q8IWV1	Homo	Metazoa	398	True
Q8IWV7	Homo	Metazoa	1749	False
Q8IWZ4	Homo	Metazoa	224	False
Q8IWZ6	Homo	Metazoa	715	False
Q8IX03	Homo	Metazoa	1113	False
Q8IXH6	Homo	Metazoa	220	False
Q8IXI1	Homo	Metazoa	618	False
Q8IXI2	Homo	Metazoa	618	False
Q8IXM3	Homo	Metazoa	137	False
Q8IXP5	Homo	Metazoa	288	False
Q8IXQ6	Homo	Metazoa	854	False
Q8IXQ9	Homo	Metazoa	262	False
Q8IXU6	Homo	Metazoa	374	True
Q8IY37	Homo	Metazoa	1157	False
Q8IY81	Homo	Metazoa	847	False
Q8IYB8	Homo	Metazoa	786	False
Q8IYJ3	Homo	Metazoa	562	False
Q8IYL9	Homo	Metazoa	337	True
Q8IYM2	Homo	Metazoa	578	False
Q8IYU8	Homo	Metazoa	434	False
Q8IZ07	Homo	Metazoa	590	False
Q8IZ08	Homo	Metazoa	494	True
Q8IZ52	Homo	Metazoa	775	True
Q8IZA0	Homo	Metazoa	1049	True
Q8IZD2	Homo	Metazoa	1858	False
Q8IZD6	Homo	Metazoa	547	True
Q8IZF0	Homo	Metazoa	1738	True
Q8IZK6	Homo	Metazoa	566	True
Q8IZL8	Homo	Metazoa	1130	False
Q8IZP1	Homo	Metazoa	549	False
Q8IZQ1	Homo	Metazoa	3526	False
Q8IZU1	Homo	Metazoa	332	False
Q8IZY2	Homo	Metazoa	2146	True
Q8JHF4	Danio	Metazoa	677	False
Q8JHI3	Danio	Metazoa	407	False
Q8JZP3	Mus	Metazoa	593	False
Q8JZQ2	Mus	Metazoa	802	False
Q8JZR4	Mus	Metazoa	559	True
Q8JZR6	Mus	Metazoa	1089	False
Q8JZS0	Mus	Metazoa	233	False
Q8JZU2	Mus	Metazoa	311	True
Q8K087	Mus	Metazoa	353	True
Q8K0B2	Mus	Metazoa	537	True
Q8K0H1	Mus	Metazoa	567	True
Q8K1L6	Mus	Metazoa	76	False
Q8K1M6	Mus	Metazoa	736	False
Q8K1N1	Mus	Metazoa	776	False
Q8K1P8	Rattus	Metazoa	545	False
Q8K1Q3	Rattus	Metazoa	329	True
Q8K1R3	Mus	Metazoa	783	False
Q8K1S6	Mus	Metazoa	718	False
Q8K1Z0	Mus	Metazoa	313	False
Q8K1Z6	Mus	Metazoa	331	True
Q8K202	Mus	Metazoa	482	False
Q8K211	Mus	Metazoa	196	True
Q8K299	Mus	Metazoa	491	True
Q8K2C6	Mus	Metazoa	310	False
Q8K2P2	Mus	Metazoa	436	False
Q8K2P7	Mus	Metazoa	485	True
Q8K337	Mus	Metazoa	993	False
Q8K382	Mus	Metazoa	1016	False
Q8K3G9	Mus	Metazoa	662	False
Q8K3J1	Mus	Metazoa	212	False
Q8K3P1	Mus	Metazoa	485	True
Q8K3Y3	Mus	Metazoa	209	False
Q8K400	Mus	Metazoa	1152	False
Q8K415	Rattus	Metazoa	481	True
Q8K440	Mus	Metazoa	1620	True
Q8K448	Mus	Metazoa	1642	True
Q8K480	Mus	Metazoa	584	True
Q8K4D3	Mus	Metazoa	475	True
Q8K4F5	Mus	Metazoa	307	False
Q8K4H1	Mus	Metazoa	305	False
Q8K4K6	Mus	Metazoa	548	False
Q8K4R4	Mus	Metazoa	332	False
Q8K4R8	Rattus	Metazoa	601	True
Q8K4V2	Rattus	Metazoa	953	False
Q8K4V4	Rattus	Metazoa	539	False
Q8K4Z2	Mus	Metazoa	240	False
Q8K4Z4	Cavia	Metazoa	418	True
Q8K5A9	Rattus	Metazoa	228	True
Q8L3P4	Arabidopsis	Plants	654	False
Q8L3X9	Arabidopsis	Plants	461	False
Q8L493	Arabidopsis	Plants	373	False
Q8L4R0	Arabidopsis	Plants	350	False
Q8L607	Arabidopsis	Plants	386	False
Q8L617	Arabidopsis	Plants	313	False
Q8L633	Arabidopsis	Plants	354	False
Q8L636	Arabidopsis	Plants	585	True
Q8L6Z4	Arabidopsis	Plants	430	False
Q8L743	Arabidopsis	Plants	599	False
Q8L770	Arabidopsis	Plants	330	False
Q8L774	Arabidopsis	Plants	389	False
Q8L785	Arabidopsis	Plants	1067	False
Q8L794	Arabidopsis	Plants	478	False
Q8L796	Arabidopsis	Plants	754	False
Q8L7C9	Arabidopsis	Plants	217	False
Q8L7E9	Arabidopsis	Plants	421	False
Q8L7K4	Arabidopsis	Plants	252	False
Q8L7K9	Arabidopsis	Plants	607	False
Q8L7L0	Arabidopsis	Plants	681	False
Q8L7N4	Arabidopsis	Plants	343	True
Q8L7S5	Arabidopsis	Plants	642	False
Q8L7S8	Arabidopsis	Plants	748	False
Q8L7S9	Arabidopsis	Plants	167	False
Q8L844	Arabidopsis	Plants	709	False
Q8L866	Arabidopsis	Plants	776	False
Q8L940	Arabidopsis	Plants	309	False
Q8L960	Arabidopsis	Plants	410	False
Q8L999	Arabidopsis	Plants	342	False
Q8L9A0	Arabidopsis	Plants	270	False
Q8L9J7	Arabidopsis	Plants	247	True
Q8L9T7	Arabidopsis	Plants	157	False
Q8LAC4	Arabidopsis	Plants	322	False
Q8LB02	Arabidopsis	Plants	280	False
Q8LB10	Arabidopsis	Plants	305	False
Q8LB47	Arabidopsis	Plants	327	False
Q8LBI1	Arabidopsis	Plants	301	False
Q8LBP4	Arabidopsis	Plants	462	False
Q8LBZ7	Arabidopsis	Plants	279	False
Q8LCA1	Arabidopsis	Plants	174	False
Q8LD38	Arabidopsis	Plants	108	True
Q8LD98	Arabidopsis	Plants	252	True
Q8LDL0	Arabidopsis	Plants	231	False
Q8LDU1	Arabidopsis	Plants	321	False
Q8LDU4	Arabidopsis	Plants	319	False
Q8LE52	Arabidopsis	Plants	258	False
Q8LE98	Arabidopsis	Plants	344	False
Q8LEU3	Arabidopsis	Plants	348	False
Q8LF36	Arabidopsis	Plants	492	False
Q8LFH5	Arabidopsis	Plants	239	True
Q8LFT2	Arabidopsis	Plants	780	False
Q8LGB6	Arabidopsis	Plants	334	False
Q8LGF7	Arabidopsis	Plants	157	False
Q8LIY8	Oryza sativa	Plants	569	False
Q8LKS5	Arabidopsis	Plants	700	False
Q8LPG9	Arabidopsis	Plants	668	False
Q8LPL7	Arabidopsis	Plants	355	False
Q8LPN3	Arabidopsis	Plants	919	False
Q8LPR8	Arabidopsis	Plants	871	False
Q8LPS1	Arabidopsis	Plants	701	False
Q8LPS2	Arabidopsis	Plants	670	False
Q8MI17	Oryctolagus	Metazoa	496	False
Q8MIR4	Sus	Metazoa	562	False
Q8MLZ3	Dictyostelium	Other	867	False
Q8MMZ7	Toxoplasma	Other	994	False
Q8MPP0	melanogaster subgroup	Metazoa	245	False
Q8MQU6	Dictyostelium	Other	492	False
Q8MT06	melanogaster subgroup	Metazoa	581	False
Q8MUF9	Dictyostelium	Other	649	False
Q8MUJ1	melanogaster subgroup	Metazoa	415	True
Q8MUM2	Toxoplasma	Other	568	True
Q8MXY0	Dictyostelium	Other	431	True
Q8N144	Homo	Metazoa	294	True
Q8N183	Homo	Metazoa	169	False
Q8N1I0	Homo	Metazoa	1966	False
Q8N1M1	Homo	Metazoa	668	True
Q8N1N2	Homo	Metazoa	184	True
Q8N1Q8	Homo	Metazoa	247	False
Q8N2A8	Homo	Metazoa	252	True
Q8N2C7	Homo	Metazoa	3258	False
Q8N2F6	Homo	Metazoa	343	True
Q8N2Y8	Homo	Metazoa	1516	False
Q8N370	Homo	Metazoa	569	True
Q8N3C0	Homo	Metazoa	2202	False
Q8N3E9	Homo	Metazoa	789	False
Q8N3F8	Homo	Metazoa	863	False
Q8N3I7	Homo	Metazoa	341	False
Q8N3J2	Homo	Metazoa	472	False
Q8N3J5	Homo	Metazoa	372	False
Q8N3R9	Homo	Metazoa	675	False
Q8N3V7	Homo	Metazoa	929	False
Q8N3Z6	Homo	Metazoa	543	False
Q8N413	Homo	Metazoa	288	True
Q8N490	Homo	Metazoa	385	False
Q8N4E7	Homo	Metazoa	242	False
Q8N4F4	Homo	Metazoa	552	True
Q8N4H5	Homo	Metazoa	51	True
Q8N4J0	Homo	Metazoa	409	False
Q8N4L1	Homo	Metazoa	468	True
Q8N4Q1	Homo	Metazoa	142	False
Q8N4S9	Homo	Metazoa	558	False
Q8N4T8	Homo	Metazoa	237	False
Q8N573	Homo	Metazoa	874	False
Q8N5C6	Homo	Metazoa	995	False
Q8N5G0	Homo	Metazoa	67	True
Q8N5H7	Homo	Metazoa	860	False
Q8N5I2	Homo	Metazoa	433	False
Q8N5K1	Homo	Metazoa	135	True
Q8N5M1	Homo	Metazoa	289	False
Q8N608	Homo	Metazoa	796	True
Q8N695	Homo	Metazoa	610	True
Q8N6F1	Homo	Metazoa	224	True
Q8N6F7	Homo	Metazoa	178	False
Q8N6R0	Homo	Metazoa	699	False
Q8N6U8	Homo	Metazoa	529	True
Q8N726	Homo	Metazoa	132	False
Q8N7J2	Homo	Metazoa	671	False
Q8N884	Homo	Metazoa	522	False
Q8N8Q3	Homo	Metazoa	282	False
Q8N8Q8	Homo	Metazoa	333	False
Q8N8R3	Homo	Metazoa	303	True
Q8N983	Homo	Metazoa	215	False
Q8N9F0	Homo	Metazoa	302	False
Q8N9L9	Homo	Metazoa	421	False
Q8N9M5	Homo	Metazoa	508	False
Q8NA29	Homo	Metazoa	543	True
Q8NAN2	Homo	Metazoa	632	True
Q8NAU1	Homo	Metazoa	260	False
Q8NB16	Homo	Metazoa	471	False
Q8NB49	Homo	Metazoa	1132	True
Q8NBF2	Homo	Metazoa	726	False
Q8NBI5	Homo	Metazoa	491	True
Q8NBN7	Homo	Metazoa	331	False
Q8NBS3	Homo	Metazoa	875	False
Q8NBU5	Homo	Metazoa	361	True
Q8NC24	Homo	Metazoa	303	True
Q8NC60	Homo	Metazoa	698	False
Q8NCD3	Homo	Metazoa	748	False
Q8NCE0	Homo	Metazoa	465	False
Q8NCG7	Homo	Metazoa	672	True
Q8NCK7	Homo	Metazoa	447	True
Q8NCT1	Homo	Metazoa	418	False
Q8ND23	Homo	Metazoa	1372	False
Q8ND76	Homo	Metazoa	341	False
Q8ND90	Homo	Metazoa	353	False
Q8NDD1	Homo	Metazoa	293	False
Q8NDF8	Homo	Metazoa	572	False
Q8NDX1	Homo	Metazoa	1056	False
Q8NE62	Homo	Metazoa	594	False
Q8NE79	Homo	Metazoa	360	True
Q8NE86	Homo	Metazoa	351	False
Q8NEC5	Homo	Metazoa	780	False
Q8NEJ9	Homo	Metazoa	315	False
Q8NER1	Homo	Metazoa	839	False
Q8NET8	Homo	Metazoa	790	False
Q8NEU8	Homo	Metazoa	664	False
Q8NF50	Homo	Metazoa	2099	False
Q8NFA2	Homo	Metazoa	376	False
Q8NFF5	Homo	Metazoa	587	False
Q8NFG4	Homo	Metazoa	579	False
Q8NFJ5	Homo	Metazoa	357	True
Q8NFJ6	Homo	Metazoa	384	True
Q8NFJ9	Homo	Metazoa	593	False
Q8NFM4	Homo	Metazoa	1077	True
Q8NFN8	Homo	Metazoa	814	True
Q8NFT2	Homo	Metazoa	490	False
Q8NFU0	Homo	Metazoa	473	True
Q8NFU1	Homo	Metazoa	509	True
Q8NFV4	Homo	Metazoa	306	False
Q8NG11	Homo	Metazoa	270	True
Q8NG50	Homo	Metazoa	284	False
Q8NG66	Homo	Metazoa	645	False
Q8NG98	Homo	Metazoa	312	True
Q8NGC4	Homo	Metazoa	313	True
Q8NHC4	Homo	Metazoa	309	True
Q8NHG8	Homo	Metazoa	242	False
Q8NHM5	Homo	Metazoa	1336	False
Q8NHU3	Homo	Metazoa	365	True
Q8NI35	Homo	Metazoa	1801	False
Q8NI36	Homo	Metazoa	895	False
Q8NI37	Homo	Metazoa	304	False
Q8NI60	Homo	Metazoa	647	False
Q8R000	Mus	Metazoa	340	True
Q8R010	Mus	Metazoa	320	False
Q8R0W0	Mus	Metazoa	6548	False
Q8R104	Mus	Metazoa	334	False
Q8R107	Mus	Metazoa	217	False
Q8R139	Mus	Metazoa	528	True
Q8R151	Mus	Metazoa	1909	False
Q8R1B0	Mus	Metazoa	408	False
Q8R1B5	Mus	Metazoa	158	False
Q8R1F1	Mus	Metazoa	749	False
Q8R1I1	Mus	Metazoa	64	True
Q8R1R3	Mus	Metazoa	373	True
Q8R1S9	Mus	Metazoa	547	False
Q8R216	Mus	Metazoa	333	False
Q8R2H7	Rattus	Metazoa	913	False
Q8R2N1	Mus	Metazoa	292	True
Q8R2Q8	Mus	Metazoa	172	True
Q8R2U2	Mus	Metazoa	564	False
Q8R2Y0	Mus	Metazoa	336	True
Q8R2Z3	Mus	Metazoa	656	True
Q8R3C6	Mus	Metazoa	952	False
Q8R3K3	Mus	Metazoa	381	False
Q8R3N6	Mus	Metazoa	657	False
Q8R3S2	Mus	Metazoa	283	True
Q8R3U1	Mus	Metazoa	162	False
Q8R426	Rattus	Metazoa	227	False
Q8R456	Rattus	Metazoa	474	True
Q8R4B8	Mus	Metazoa	1033	False
Q8R4D1	Mus	Metazoa	576	True
Q8R4D5	Mus	Metazoa	1104	False
Q8R4F0	Mus	Metazoa	553	True
Q8R4H9	Mus	Metazoa	761	True
Q8R4L0	Mus	Metazoa	259	False
Q8R4N0	Mus	Metazoa	338	False
Q8R4P5	Mus	Metazoa	757	False
Q8R4T1	Mus	Metazoa	145	False
Q8R4T5	Rattus	Metazoa	394	False
Q8R4T9	Mus	Metazoa	930	False
Q8R4Z9	Rattus	Metazoa	741	False
Q8R500	Rattus	Metazoa	757	False
Q8R502	Mus	Metazoa	803	True
Q8R526	Mus	Metazoa	2615	False
Q8R537	Cricetulus	Metazoa	318	False
Q8R5A0	Mus	Metazoa	433	False
Q8R5A3	Mus	Metazoa	670	False
Q8R5G7	Mus	Metazoa	1538	False
Q8RW96	Arabidopsis	Plants	522	False
Q8RWG1	Arabidopsis	Plants	682	False
Q8RWG2	Arabidopsis	Plants	652	False
Q8RWI0	Arabidopsis	Plants	391	True
Q8RWL6	Arabidopsis	Plants	570	False
Q8RWN9	Arabidopsis	Plants	539	False
Q8RWS4	Arabidopsis	Plants	444	False
Q8RWT8	Arabidopsis	Plants	514	False
Q8RWV0	Arabidopsis	Plants	741	False
Q8RWX4	Arabidopsis	Plants	611	False
Q8RWZ6	Arabidopsis	Plants	616	True
Q8RX77	Arabidopsis	Plants	620	True
Q8RX78	Arabidopsis	Plants	684	False
Q8RX79	Arabidopsis	Plants	422	False
Q8RXA7	Arabidopsis	Plants	1187	False
Q8RXD9	Arabidopsis	Plants	955	False
Q8RXK8	Arabidopsis	Plants	1093	False
Q8RXN0	Arabidopsis	Plants	703	False
Q8RXN3	Arabidopsis	Plants	408	False
Q8RXP7	Arabidopsis	Plants	438	False
Q8RY16	Arabidopsis	Plants	941	False
Q8S1D9	Oryza sativa	Plants	435	False
Q8S2G4	Oryza sativa	Plants	345	False
Q8S3U9	Arabidopsis	Plants	1090	False
Q8S4F6	Arabidopsis	Plants	510	False
Q8S4Y1	Arabidopsis	Plants	403	False
Q8S8E3	Arabidopsis	Plants	215	False
Q8S8K8	Arabidopsis	Plants	152	True
Q8S944	Arabidopsis	Plants	808	False
Q8S948	Arabidopsis	Plants	406	False
Q8S9J1	Arabidopsis	Plants	508	False
Q8S9K3	Arabidopsis	Plants	758	False
Q8SX37	melanogaster subgroup	Metazoa	224	True
Q8T062	melanogaster subgroup	Metazoa	1040	True
Q8T0G4	melanogaster subgroup	Metazoa	629	False
Q8T0S6	melanogaster subgroup	Metazoa	669	False
Q8T498	melanogaster subgroup	Metazoa	1580	False
Q8T5S1	Caenorhabditis	Metazoa	644	True
Q8T8E5	Trypanosoma brucei	Other	353	False
Q8T9S7	Dictyostelium	Other	533	False
Q8TAA5	Homo	Metazoa	225	False
Q8TAC2	Homo	Metazoa	188	False
Q8TAC9	Homo	Metazoa	235	True
Q8TAD4	Homo	Metazoa	765	True
Q8TAE7	Homo	Metazoa	436	False
Q8TAE8	Homo	Metazoa	222	False
Q8TAM2	Homo	Metazoa	541	False
Q8TAX9	Homo	Metazoa	416	True
Q8TB36	Homo	Metazoa	358	False
Q8TB37	Homo	Metazoa	319	False
Q8TB68	Homo	Metazoa	274	True
Q8TB92	Homo	Metazoa	370	False
Q8TBE7	Homo	Metazoa	412	False
Q8TBZ6	Homo	Metazoa	339	False
Q8TC26	Homo	Metazoa	289	True
Q8TC71	Homo	Metazoa	538	False
Q8TC84	Homo	Metazoa	345	False
Q8TC92	Homo	Metazoa	643	False
Q8TCC7	Homo	Metazoa	542	True
Q8TCG2	Homo	Metazoa	481	False
Q8TCQ1	Homo	Metazoa	289	False
Q8TCS8	Homo	Metazoa	783	False
Q8TCT0	Homo	Metazoa	537	False
Q8TCU6	Homo	Metazoa	1659	False
Q8TCY5	Homo	Metazoa	172	True
Q8TD22	Homo	Metazoa	340	False
Q8TD43	Homo	Metazoa	1214	False
Q8TDB4	Homo	Metazoa	240	True
Q8TDB8	Homo	Metazoa	520	True
Q8TDD1	Homo	Metazoa	881	False
Q8TDD5	Homo	Metazoa	553	True
Q8TDF6	Homo	Metazoa	673	False
Q8TDM6	Homo	Metazoa	1919	False
Q8TDN1	Homo	Metazoa	519	False
Q8TDN2	Homo	Metazoa	545	False
Q8TDR2	Homo	Metazoa	534	False
Q8TDS4	Homo	Metazoa	363	True
Q8TDS7	Homo	Metazoa	321	True
Q8TDT2	Homo	Metazoa	470	True
Q8TDU6	Homo	Metazoa	330	True
Q8TDW0	Homo	Metazoa	803	True
Q8TDX9	Homo	Metazoa	2849	False
Q8TE04	Homo	Metazoa	598	False
Q8TE54	Homo	Metazoa	656	True
Q8TEB9	Homo	Metazoa	315	True
Q8TED0	Homo	Metazoa	518	False
Q8TEH3	Homo	Metazoa	1009	False
Q8TEU7	Homo	Metazoa	1601	False
Q8TEW0	Homo	Metazoa	1356	False
Q8TEZ7	Homo	Metazoa	354	True
Q8TF40	Homo	Metazoa	1166	False
Q8TF62	Homo	Metazoa	1192	True
Q8TF71	Homo	Metazoa	515	True
Q8TGV2	Exophiala	Fungi	1885	False
Q8VBV9	Mus	Metazoa	320	True
Q8VBX6	Mus	Metazoa	2055	False
Q8VC49	Mus	Metazoa	283	False
Q8VC69	Mus	Metazoa	545	True
Q8VCA0	Mus	Metazoa	551	True
Q8VCF0	Mus	Metazoa	503	False
Q8VCM2	Mus	Metazoa	349	False
Q8VCX5	Mus	Metazoa	477	False
Q8VDB9	Mus	Metazoa	592	True
Q8VDK1	Mus	Metazoa	323	False
Q8VDN2	Mus	Metazoa	1023	False
Q8VDQ8	Mus	Metazoa	389	False
Q8VDU0	Mus	Metazoa	679	False
Q8VDY4	Mus	Metazoa	628	False
Q8VDZ4	Mus	Metazoa	715	True
Q8VE01	Mus	Metazoa	188	False
Q8VE11	Mus	Metazoa	617	False
Q8VE70	Mus	Metazoa	212	False
Q8VEB1	Mus	Metazoa	590	False
Q8VEC4	Mus	Metazoa	323	True
Q8VEF1	Mus	Metazoa	722	False
Q8VEK0	Mus	Metazoa	364	True
Q8VFT4	Mus	Metazoa	313	True
Q8VGC3	Rattus	Metazoa	655	False
Q8VGS3	Mus	Metazoa	310	True
Q8VHH7	Mus	Metazoa	1145	True
Q8VHK0	Rattus	Metazoa	320	False
Q8VHK9	Mus	Metazoa	1001	False
Q8VHL0	Mus	Metazoa	384	True
Q8VHQ2	Mus	Metazoa	579	False
Q8VHT6	Rattus	Metazoa	369	False
Q8VHW2	Mus	Metazoa	423	True
Q8VHW8	Rattus	Metazoa	275	True
Q8VI64	Mus	Metazoa	283	True
Q8VIE6	Mus	Metazoa	465	True
Q8VII6	Rattus	Metazoa	656	True
Q8VIM4	Mus	Metazoa	307	True
Q8VWF1	Arabidopsis	Plants	368	False
Q8VWJ1	Arabidopsis	Plants	393	False
Q8VWK4	Arabidopsis	Plants	300	False
Q8VY06	Arabidopsis	Plants	1080	False
Q8VY16	Arabidopsis	Plants	819	False
Q8VY21	Arabidopsis	Plants	406	False
Q8VY26	Arabidopsis	Plants	570	False
Q8VY77	Arabidopsis	Plants	91	True
Q8VY88	Arabidopsis	Plants	175	False
Q8VYD4	Arabidopsis	Plants	867	True
Q8VYF7	Arabidopsis	Plants	238	False
Q8VYJ1	Arabidopsis	Plants	560	True
Q8VYL1	Arabidopsis	Plants	588	False
Q8VYM2	Arabidopsis	Plants	524	True
Q8VYM4	Arabidopsis	Plants	253	False
Q8VYP0	Arabidopsis	Plants	334	False
Q8VYR7	Arabidopsis	Plants	704	True
Q8VYS2	Arabidopsis	Plants	890	False
Q8VYU8	Arabidopsis	Plants	396	False
Q8VYZ5	Arabidopsis	Plants	900	False
Q8VZ10	Arabidopsis	Plants	1055	False
Q8VZ80	Arabidopsis	Plants	539	True
Q8VZ87	Arabidopsis	Plants	267	False
Q8VZA5	Arabidopsis	Plants	447	False
Q8VZD4	Arabidopsis	Plants	709	False
Q8VZF1	Arabidopsis	Plants	569	False
Q8VZJ1	Arabidopsis	Plants	379	False
Q8VZS0	Arabidopsis	Plants	321	True
Q8VZS8	Arabidopsis	Plants	221	False
Q8VZU2	Arabidopsis	Plants	304	False
Q8VZV9	Arabidopsis	Plants	161	False
Q8W1Y3	Arabidopsis	Plants	1087	False
Q8W493	Arabidopsis	Plants	369	False
Q8W4B2	Arabidopsis	Plants	333	False
Q8W4D6	Arabidopsis	Plants	598	False
Q8W4E1	Arabidopsis	Plants	551	False
Q8W4E7	Arabidopsis	Plants	598	False
Q8W4I6	Arabidopsis	Plants	660	False
Q8W4I7	Arabidopsis	Plants	528	False
Q8W4J9	Arabidopsis	Plants	908	False
Q8W4L3	Arabidopsis	Plants	489	False
Q8W4Q4	Arabidopsis	Plants	702	False
Q8W585	Arabidopsis	Plants	685	False
Q8W593	Arabidopsis	Plants	350	False
Q8WNR0	Sus	Metazoa	189	True
Q8WNV7	Sus	Metazoa	279	False
Q8WQC9	Caenorhabditis	Metazoa	712	False
Q8WQX5	Trypanosoma brucei	Other	976	False
Q8WQX6	lizard Leishmania	Other	1120	False
Q8WSR3	Ascaris	Metazoa	645	False
Q8WTP8	Homo	Metazoa	325	False
Q8WTR4	Homo	Metazoa	605	True
Q8WTT0	Homo	Metazoa	213	True
Q8WTT2	Homo	Metazoa	800	False
Q8WTV0	Homo	Metazoa	552	True
Q8WTX7	Homo	Metazoa	329	False
Q8WU08	Homo	Metazoa	396	False
Q8WU10	Homo	Metazoa	500	False
Q8WUG5	Homo	Metazoa	649	False
Q8WUJ0	Homo	Metazoa	223	False
Q8WUM9	Homo	Metazoa	679	True
Q8WUQ7	Homo	Metazoa	758	False
Q8WUU8	Homo	Metazoa	243	True
Q8WV24	Homo	Metazoa	401	False
Q8WV28	Homo	Metazoa	456	False
Q8WV41	Homo	Metazoa	574	False
Q8WV93	Homo	Metazoa	481	False
Q8WVF1	Homo	Metazoa	389	False
Q8WVM0	Homo	Metazoa	346	False
Q8WVQ1	Homo	Metazoa	401	True
Q8WVX9	Homo	Metazoa	515	False
Q8WWC4	Homo	Metazoa	291	False
Q8WWH5	Homo	Metazoa	349	False
Q8WWI5	Homo	Metazoa	657	True
Q8WWR8	Homo	Metazoa	484	False
Q8WWT9	Homo	Metazoa	602	True
Q8WWV3	Homo	Metazoa	396	False
Q8WXD0	Homo	Metazoa	754	False
Q8WXF1	Homo	Metazoa	523	False
Q8WXF8	Homo	Metazoa	326	False
Q8WXG1	Homo	Metazoa	361	False
Q8WXG6	Homo	Metazoa	1647	False
Q8WXH0	Homo	Metazoa	6885	False
Q8WXI4	Homo	Metazoa	607	False
Q8WXI7	Homo	Metazoa	14507	False
Q8WXI8	Homo	Metazoa	215	True
Q8WXX5	Homo	Metazoa	260	False
Q8WY07	Homo	Metazoa	619	True
Q8WY64	Homo	Metazoa	445	False
Q8WYK0	Homo	Metazoa	555	False
Q8WYQ3	Homo	Metazoa	142	False
Q8WYQ5	Homo	Metazoa	773	False
Q8WZ55	Homo	Metazoa	320	True
Q8WZ73	Homo	Metazoa	363	False
Q8WZM3	Candida	Fungi	386	False
Q90X46	Danio	Metazoa	526	True
Q90X64	Xenopus	Metazoa	521	False
Q90XE6	Danio	Metazoa	365	False
Q91738	Xenopus	Metazoa	1068	False
Q91821	Xenopus	Metazoa	651	False
Q91V08	Mus	Metazoa	207	True
Q91V14	Mus	Metazoa	1138	False
Q91V24	Mus	Metazoa	2159	True
Q91VA0	Mus	Metazoa	573	False
Q91VB2	Mus	Metazoa	477	False
Q91VD9	Mus	Metazoa	727	False
Q91VH1	Mus	Metazoa	375	False
Q91VJ1	Mus	Metazoa	354	False
Q91VJ2	Mus	Metazoa	260	False
Q91VR5	Mus	Metazoa	740	False
Q91W40	Mus	Metazoa	508	False
Q91WD2	Mus	Metazoa	767	False
Q91WD5	Mus	Metazoa	463	False
Q91WL8	Mus	Metazoa	414	False
Q91WN3	Mus	Metazoa	478	True
Q91WS0	Mus	Metazoa	108	True
Q91WS2	Mus	Metazoa	869	False
Q91WU2	Mus	Metazoa	540	True
Q91WV7	Mus	Metazoa	685	True
Q91WW3	Mus	Metazoa	302	True
Q91WW5	Mus	Metazoa	304	True
Q91WZ8	Mus	Metazoa	352	False
Q91X52	Mus	Metazoa	244	False
Q91X56	Mus	Metazoa	400	True
Q91X85	Mus	Metazoa	551	False
Q91XB0	Mus	Metazoa	314	False
Q91XD2	Mus	Metazoa	341	False
Q91XE4	Mus	Metazoa	318	False
Q91XS8	Rattus	Metazoa	371	False
Q91XT9	Rattus	Metazoa	761	True
Q91XV3	Mus	Metazoa	226	False
Q91XW8	Mus	Metazoa	327	False
Q91Y55	Rattus	Metazoa	235	True
Q91Y77	Rattus	Metazoa	514	True
Q91Y80	Rattus	Metazoa	457	False
Q91YD4	Mus	Metazoa	1506	False
Q91YE5	Mus	Metazoa	1889	False
Q91YH6	Mus	Metazoa	513	False
Q91YI1	Mus	Metazoa	516	False
Q91YI4	Mus	Metazoa	410	False
Q91YM2	Mus	Metazoa	1499	False
Q91YR5	Mus	Metazoa	698	False
Q91YT0	Mus	Metazoa	464	False
Q91YT8	Mus	Metazoa	804	True
Q91Z67	Mus	Metazoa	1071	False
Q91ZB7	Mus	Metazoa	310	True
